"concept_id","concept_name","scd_flag"
44825276,"Hb-SS disease with crisis",1
35206724,"Sickle-cell disease without crisis",1
44827638,"Hb-SS disease without crisis",1
30683,"Hemoglobin SS disease without crisis",1
45595765,"Hb-SS disease with crisis, unspecified",1
22281,"Sickle cell-hemoglobin SS disease",1
26942,"Hemoglobin SS disease with crisis",1
45566702,"Sickle-cell thalassemia with crisis, unspecified",0
321263,"Sickle cell-thalassemia disease without crisis",0
315523,"Sickle cell-thalassemia disease",0
44824096,"Sickle-cell thalassemia with crisis",0
443738,"Sickle cell-thalassemia disease with crisis",0
45552357,"Other sickle-cell disorders without crisis",0
45561924,"Sickle-cell/Hb-C disease with crisis, unspecified",0
45542710,"Sickle-cell/Hb-C disease without crisis",0
44835766,"Sickle-cell/Hb-C disease without crisis",0
24006,"Sickle cell-hemoglobin C disease",0
765385,"Acute chest syndrome due to sickle cell-hemoglobin C disease with crisis",0
44829908,"Sickle-cell thalassemia without crisis",0
443726,"Sickle cell-hemoglobin C disease without crisis",0
4130067,"Sickle cell-beta-thalassemia",0
4130068,"Sickle cell-beta^0^-thalassemia",0
44819529,"Sickle-cell/Hb-C disease with crisis",0
4130678,"Sickle cell-beta^+^-thalassemia",0
44836942,"Other sickle-cell disease without crisis",0
45581324,"Other sickle-cell disorders with crisis, unspecified",0
45561925,"Sickle-cell thalassemia without crisis",0
443721,"Sickle cell-hemoglobin C disease with crisis",0
44825277,"Other sickle-cell disease with crisis",0
4209085,"Hemoglobin SS disease with vasoocclusive crisis",1
4213628,"Sickling disorder due to hemoglobin S",1
4216915,"Hemoglobin S sickling disorder with crisis",1
