"concept_id","concept_name"
963929,"hydroxyurea 100 MG"
963930,"hydroxyurea 100 MG Oral Tablet"
963932,"hydroxyurea 100 MG [Siklos]"
963933,"hydroxyurea Oral Tablet [Siklos]"
963934,"Siklos Oral Product"
963935,"Siklos Pill"
963936,"hydroxyurea 100 MG Oral Tablet [Siklos]"
963937,"hydroxyurea 1000 MG [Siklos]"
963938,"hydroxyurea 1000 MG Oral Tablet [Siklos]"
1377141,"hydroxyurea"
1377163,"hydroxyurea 500 MG Oral Capsule"
1377167,"hydroxyurea 200 MG Oral Capsule [Droxia]"
1377168,"hydroxyurea 300 MG Oral Capsule [Droxia]"
1377169,"hydroxyurea 400 MG Oral Capsule [Droxia]"
1377170,"hydroxyurea 1000 MG Oral Tablet"
1377171,"hydroxyurea 1000 MG Oral Tablet [Mylocel]"
19007385,"hydroxyurea 500 MG Oral Capsule [Hydrea]"
19021901,"hydroxyurea 500 MG [Hydrea]"
19023560,"hydroxyurea 200 MG Oral Capsule"
19023561,"hydroxyurea 300 MG Oral Capsule"
19023562,"hydroxyurea 400 MG Oral Capsule"
19063155,"hydroxyurea 200 MG [Droxia]"
19063156,"hydroxyurea 300 MG [Droxia]"
19063157,"hydroxyurea 400 MG [Droxia]"
19081478,"hydroxyurea 200 MG"
19081479,"hydroxyurea 300 MG"
19081480,"hydroxyurea 400 MG"
19081492,"hydroxyurea 500 MG"
19087442,"hydroxyurea 1000 MG"
19120739,"hydroxyurea 1000 MG [Mylocel]"
36222777,"Droxia Oral Product"
36222778,"Droxia Pill"
36226190,"hydroxyurea Oral Product"
36226191,"hydroxyurea Pill"
36237854,"Hydrea Oral Product"
36237855,"Hydrea Pill"
36239273,"Mylocel Oral Product"
36239522,"Mylocel Pill"
40051647,"hydroxyurea Oral Capsule"
40051648,"hydroxyurea Oral Capsule [Droxia]"
40051649,"hydroxyurea Oral Capsule [Hydrea]"
40051650,"hydroxyurea Oral Tablet"
40051651,"hydroxyurea Oral Tablet [Mylocel]"
